Consent,GBeliefs_1,GBeliefs_2,GBeliefs_3,Global_1,Global_2,Global_3,Global_4,Global_5,Gutt1,Gutt2,Gutt3,Gutt4,Gutt5,Attain_1,Attain_10,Attain_11,Attain_12,Attain_13,Attain_2,Attain_3,Attain_4,Attain_5,Attain_6,Attain_7,Attain_8,Attain_9,CostX_1,CostX_2,CostX_3,CostX_4,CostX_5,CostX_6,CostX_7,CostX_8,CostX_9,CostX_10,CostX_11,CostX_12,CostX_13,DifficultyX_1,DifficultyX_2,DifficultyX_3,DifficultyX_4,DifficultyX_5,DifficultyX_6,DifficultyX_7,DifficultyX_8,DifficultyX_9,GoalX_1,GoalX_2,GoalX_3,GoalX_4,GoalX_5,GoalX_6,GoalX_7,GoalX_8,GoalX_9,GoalX_10,GoalX_11,GoalX_12,GoalX_13,Expectancy_1,Expectancy_2,Expectancy_3,Expectancy_4,Expectancy_5,Expectancy_6,IntEnj_1,IntEnj_2,IntEnj_3,IntEnj_4,IntEnj_5,IntEnj_6,IntEnj_7,IntEnj_8,IntEnj_9,Utility_1,Utility_10,Utility_11,Utility_2,Utility_3,Utility_4,Utility_5,Utility_6,Utility_7,Utility_8,Utility_9,AcadSCX_1,AcadSCX_2,AcadSCX_3,AcadSCX_4,AcadSCX_5,AcadSCX_6,AcadSCX_7,AcadSCX_8,AcadSCX_9,AcadSCX_10,AcadSCX_11,AcadSCX_12,AcadSCX_13,AcadSCX_14,Gender,Gender_TEXT,Age,Hispanic_Latino_Spanish,Race_Origin,Race_Origin_TEXT,Language,Language_TEXT,Student,Student_TEXT,Taking_Class,Taking_Class_TEXT,STAT_Successful?,Successful_Where,No?,No?_TEXT,First_Gen?,Grade_Course,College_GPA?,College_GPA,College_GPA_Max,HS_GPA,HS_GPA_Max,Major1_1,Major1.1,Major2_1,Major2.1,Minor1_1,Minor1.1,Minor2_1,Minor2.1,RandomID
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Somewhat Agree,Below Average,Average,Average,Some Confidence,Average,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,5,4,3,4,5,4,4,2,6,3,4,3,6,3,5,4,5,3,6,3,3,6,2,5,4,5,6,4,4,1,2,3,6,3,6,2,4,4,3,6,5,7,3,5,3,5,6,6,6,3,5,5,4,3,4,4,2,6,5,3,3,5,4,1,4,3,4,5,6,3,5,5,4,3,7,2,4,1,4,3,3,6,5,3,6,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee82764c68
Yes: I agree to participate AND am 18 years or older,Disagree,Neither Agree Nor Disagree,Disagree,Average,Average,Grater Than Average,Confident,Fairly Unlikely,Employers expect that I know statistics.,Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,2,6,6,4,6,4,2,6,5,4,2,2,2,3,6,3,4,4,3,5,3,5,3,4,3,4,6,2,2,2,4,5,2,3,2,2,4,1,4,4,3,6,2,4,2,3,2,5,5,5,5,6,6,6,6,3,4,5,2,5,5,2,4,6,4,5,5,5,3,2,7,6,5,5,6,6,5,6,4,7,6,4,5,6,5,6,5,5,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,"It is required by my major.,If fulfills a general education requirement.",,Yes,1 other college-level statistics course.,,,Yes,A or B (not sure which one),Yes,3,4,,,Biology,,None - I do not have a second major.,,Other (Please Specify),Nonprofit and Fundraising Administration,None - I do not have a minor.,,66b602c56c
Yes: I agree to participate AND am 18 years or older,Disagree,Agree,Strongly Disagree,Very Well,Very Good,Large Amount,Very Confident,Very Likely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,5,7,7,6,5,4,7,6,7,7,2,6,4,7,6,6,4,7,5,6,7,3,5,6,6,6,3,2,2,4,5,1,3,2,5,4,4,6,6,6,5,6,6,4,3,7,7,5,7,7,7,6,6,6,6,6,6,5,6,5,6,6,4,6,7,7,6,7,6,7,5,7,6,7,6,5,6,6,7,7,6,7,7,7,7,7,2,Woman,,27,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,"English,Other language(s):","Swedish, Norwegian, Danish",Part-time student in college,,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,A or B (not sure which one),Yes,3.54,4,,,Psychology,,None - I do not have a second major.,,Other (Please Specify),Neuroscience,,,4a786fcc18
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Above Average,Average,Average,Fairly Confident,Not At All Likely,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will rarely use statistics in the future.,6,5,5,5,5,3,3,3,5,6,5,4,1,3,4,4,5,2,5,3,5,5,2,3,4,5,6,5,5,5,5,6,5,5,6,4,1,1,4,5,5,4,4,5,3,3,4,4,5,4,5,4,4,5,3,4,2,1,3,2,4,4,4,5,6,5,5,3,5,3,5,5,5,6,6,5,7,6,6,6,5,4,5,5,4,5,7,5,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,A or B (not sure which one),Yes,3.7,4,,,Psychology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,e66d2deb03
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Well,Good,Not At All,Little Confidence,Not At All Likely,Employers place no value on me knowing statistics.,Only some people in my desired career field use statistics.,I do not see how using statistics will help me make informed choices.,I see no reason to study statistics.,I will never use statistics in the future.,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,7,5,7,7,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,6,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,3,5,6,4,4,1,7,1,1,5,3,3,1,7,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,C,No,,,3.5,4,Psychology,,,,"Communication, Journalism, and Related Programs",,,,43dc5581de
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Well,Above Average,Less Than Average,Confident,Unlikely,"Employers would like it if I knew statistics, but it is not required.",Almost everyone in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,6,6,4,3,4,2,4,3,4,5,5,6,4,5,6,4,4,6,6,5,5,6,5,6,4,2,5,3,5,5,6,5,5,5,4,2,2,1,7,2,2,4,4,5,5,5,2,2,3,5,6,6,3,5,2,4,6,5,3,6,5,5,5,4,5,6,6,3,6,5,7,5,6,6,4,4,5,5,5,6,5,2,5,7,5,5,5,6,Woman,,27,"No, I am not of Hispanic, Latino, or Spanish origin.","Black or African-American: African American, Haitian, Nigerian, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,A or B (not sure which one),Yes,3.08,4,,,Psychology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,fccfea0cab
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Disagree,Disagree,Well,Above Average,Grater Than Average,Some Confidence,Unlikely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,4,6,6,1,6,3,7,5,6,5,1,3,3,5,5,7,4,4,4,5,3,3,5,5,6,6,6,6,4,6,6,6,6,4,4,1,6,2,1,4,6,5,5,5,6,5,3,3,5,3,1,5,1,3,2,1,2,3,2,4,2,5,2,6,6,6,6,7,7,5,5,5,5,5,5,3,2,6,3,6,6,6,2,3,7,7,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Freshman (First Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,C,No,,,4.05,5,Psychology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,56a93afcfa
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Agree,Strongly Disagree,Above Average,Average,Grater Than Average,Fairly Confident,Not At All Likely,Employers require that I have excellent knowledge of statistics.,Everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will often use statistics in the future.,7,5,4,4,4,3,2,2,5,4,6,5,4,3,2,7,5,2,1,2,6,7,2,4,5,5,6,5,7,6,6,7,7,1,7,5,7,6,6,5,4,5,4,4,6,6,3,4,5,5,5,6,4,5,1,1,1,1,1,1,1,1,1,7,5,7,7,6,7,7,7,7,7,5,4,5,5,5,3,5,3,5,6,6,3,7,5,6,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,"English,French",,Freshman (First Year),,"It is required by my major.,If fulfills a general education requirement.",,No,,I have never taken a statistics course.,,No,B,No,,,3.89,4,Other (Please Specify),environmental studies,,,Other (Please Specify),International Studies,,,331c96c9af
Yes: I agree to participate AND am 18 years or older,Disagree,Agree,Disagree,Well,Good,Less Than Average,Fairly Confident,Average,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will occasionally use statistics in the future.,5,5,5,5,5,5,5,5,6,5,5,3,4,3,5,5,4,6,5,5,5,5,3,4,5,5,6,5,5,5,6,5,5,5,5,4,5,2,5,5,4,5,4,5,4,3,5,5,3,5,5,5,4,5,3,3,5,5,4,5,5,6,5,3,5,6,3,3,5,4,3,5,6,5,6,5,5,6,5,5,6,7,6,5,6,5,5,3,Woman,,18,I prefer not to answer.,Prefer not to answer,,English,,Freshman (First Year),,It is required by my major.,,Yes,High School AP Statistics,,,No,A or B (not sure which one),No,,,3.8,4,Biology,,,,,,,,1f83156d17
Yes: I agree to participate AND am 18 years or older,Disagree,Agree,Disagree,Above Average,Average,Average,Fairly Confident,Fairly Likely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,4,5,2,4,4,1,5,3,4,5,3,4,3,2,5,6,5,5,3,4,5,5,2,4,2,4,5,4,5,5,4,5,5,5,5,2,1,1,6,4,2,4,3,3,5,4,4,4,5,5,6,5,2,5,3,5,3,3,3,3,5,6,3,5,4,6,5,6,4,5,6,6,5,6,6,5,5,5,5,3,5,5,5,5,3,4,3,3,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Freshman (First Year),,"It is required by my major.,If fulfills a general education requirement.",,No,,I have never taken a statistics course.,,No,B,Yes,3.5,4,,,Psychology,,"Communication, Journalism, and Related Programs",,,,,,36e0690edf
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Somewhat Agree,Disagree,Below Average,Below Average,Less Than Average,Fairly Confident,Average,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I plan to use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,6,6,5,5,6,6,3,3,5,6,6,4,4,3,3,5,5,4,5,3,5,5,2,3,4,6,5,6,5,5,5,6,4,5,6,3,3,1,5,5,4,4,4,4,4,3,4,4,6,5,6,6,2,5,3,4,4,4,3,3,4,6,4,6,5,5,5,5,5,3,5,6,5,6,7,5,7,6,5,6,5,5,6,5,4,5,4,5,Man,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Freshman (First Year),,It is required by my major.,,Yes,High School non-AP,,,No,A or B (not sure which one),No,,,4.0999999999999996,5,Political Science,,"Communication, Journalism, and Related Programs",,"Business Administration, Management",,"Marketing, Advertising",,462ce8fb88
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Somewhat Agree,Disagree,Well,Above Average,Great Deal,Fairly Confident,Average,Employers require that I have excellent knowledge of statistics.,Everyone in my desired career field uses statistics.,I plan to use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,7,7,7,7,7,2,7,3,7,7,7,7,5,5,7,6,5,7,7,6,7,7,4,6,6,6,5,3,2,3,3,5,5,2,3,4,5,7,7,7,4,7,7,4,5,1,7,7,6,7,7,5,5,6,3,7,5,7,5,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,3,6,3,5,1,7,7,7,3,7,3,5,2,1,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Freshman (First Year),,It is required by my major.,,Yes,High School AP Statistics,,,No,A or B (not sure which one),No,,,4.5640000000000001,5.3,Political Science,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,aa973751ad
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Poorly,Poor,Very Little,Some Confidence,Fairly Unlikely,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will occasionally use statistics in the future.,6,5,5,5,5,4,3,5,6,5,6,5,4,3,5,4,5,6,5,4,4,4,2,3,5,5,5,6,5,5,5,5,5,5,5,2,2,2,5,4,2,5,4,4,4,4,2,2,4,6,5,4,5,4,3,4,3,4,3,4,5,4,5,4,4,6,3,3,5,5,5,5,4,5,3,5,6,5,5,4,5,4,5,6,4,6,5,3,Woman,,18,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Sophomore (Second Year),,It is required by my major.,,No,,I have never taken a statistics course.,,No,A or B (not sure which one),Yes,3.79,4,,,Political Science,,,,Other (Please Specify),Legal Studies,,,9ea96cabd6
